date;model;tone;l;tone without # ;R;G;B;5 clusters
01/01/2000;Carmen Kass;#CE9A86;0.6678104579999999;CE9A86;206;154;134;3
01/01/2000;Gisele Bundchen;#D19985;0.672829132;D19985;209;153;133;3
01/02/2000;Angela Lindvall;#CA9C94;0.688480392;CA9C94;202;156;148;2
01/03/2000;Amber Valletta;#BF9368;0.580926916;BF9368;191;147;104;3
01/04/2000;Carolyn Murphy;#DF9D73;0.664349376;DF9D73;223;157;115;3
01/05/2000;Gisele Bundchen;#CC8F7F;0.6516339870000001;CC8F7F;204;143;127;3
01/06/2000;Gisele Bundchen;#D39C81;0.668627451;D39C81;211;156;129;3
01/07/2000;Cate Blanchett;#D9AE97;0.7220588240000001;D9AE97;217;174;151;2
01/08/2000;Carmen Kass;#CA9683;0.653846154;CA9683;202;150;131;3
01/09/2000;Bridget Hall;#DEAC94;0.726797386;DEAC94;222;172;148;2
01/10/2000;Charlize Theron;#BD7B63;0.567201426;BD7B63;189;123;99;1
01/11/2000;Carmen Kass;#D2A373;0.638779956;D2A373;210;163;115;3
01/11/2000;Maggie Rizer;#D3A87D;0.66;D3A87D;211;168;125;3
01/11/2000;Angela Lindvall;#DBAF8B;0.7033868090000001;DBAF8B;219;175;139;2
01/11/2000;Frankie Rayder;#DCB08D;0.7107266440000001;DCB08D;220;176;141;2
01/12/2000;Nicole Kidman;#DACFC7;0.820588235;DACFC7;218;207;199;0
01/01/2001;Marion Jones;#C77955;0.558371041;C77955;199;121;85;1
01/02/2001;Karolina Kurkova;#C79B83;0.647511312;C79B83;199;155;131;3
01/03/2001;Penelope Cruz;#DF8E69;0.645882353;DF8E69;223;142;105;3
01/04/2001;Renee Zellweger;#DAAD91;0.715196078;DAAD91;218;173;145;2
01/05/2001;Carmen Kass;#CB8B67;0.602058824;CB8B67;203;139;103;3
01/06/2001;Gisele Bundchen;#CF9B8B;0.6797888390000001;CF9B8B;207;155;139;3
01/07/2001;Catherine Zeta-Jones;#D3AEA0;0.72872549;D3AEA0;211;174;160;2
01/08/2001;Amber Valletta;#C9A594;0.684313725;C9A594;201;165;148;2
01/09/2001;Linda Evangelista;#C89980;0.643837535;C89980;200;153;128;3
01/10/2001;Carolyn Murphy;#BF8873;0.601960784;BF8873;191;136;115;3
01/11/2001;Britney Spears;#DBAA8E;0.70802139;DBAA8E;219;170;142;2
01/12/2001;Gisele Bundchen;#D9AA85;0.6885154059999999;D9AA85;217;170;133;2
01/01/2002;Julianne Moore;#CF9C87;0.6736694679999999;CF9C87;207;156;135;3
01/02/2002;Sarah Jessica Parker;#C59876;0.62120098;C59876;197;152;118;3
01/03/2002;Gwyneth Paltrow;#C58A66;0.5872549020000001;C58A66;197;138;102;3
01/04/2002;Angelina Jolie;#D8B3A0;0.73977591;D8B3A0;216;179;160;2
01/05/2002;Natalie Portman;#C99C86;0.660249554;C99C86;201;156;134;3
01/06/2002;Ashley Judd;#AD705B;0.518552036;AD705B;173;112;91;1
01/07/2002;Amber Valletta;#CCAAA2;0.7193277309999999;CCAAA2;204;170;162;2
01/08/2002;Jennifer Aniston;#CD9476;0.634436275;CD9476;205;148;118;3
01/09/2002;Kate Hudson;#D8B5A1;0.7414215690000001;D8B5A1;216;181;161;2
01/10/2002;Christy Turlington;#A57F6A;0.5339366520000001;A57F6A;165;127;106;1
01/11/2002;Catherine Zeta-Jones;#CCA493;0.6904575159999999;CCA493;204;164;147;2
01/11/2002;Renee Zellweger;#D7B5A6;0.747593583;D7B5A6;215;181;166;2
01/12/2002;Halle Berry;#906051;0.44248366;906051;144;96;81;4
01/01/2003;Sandra Bullock;#B08067;0.548627451;B08067;176;128;103;1
01/02/2003;Debra Messing;#C09070;0.597385621;C09070;192;144;112;3
01/03/2003;Julianne Moore;#D5B6AB;0.754411765;D5B6AB;213;182;171;0
01/04/2003;Brooke Shields;#B18A67;0.552249135;B18A67;177;138;103;1
01/05/2003;Cameron Diaz;#AE9284;0.602696078;AE9284;174;146;132;3
01/06/2003;Reese Witherspoon;#B49B8D;0.631045752;B49B8D;180;155;141;3
01/07/2003;Demi Moore;#C39E86;0.645490196;C39E86;195;158;134;3
01/08/2003;Sarah Jessica Parker;#B08466;0.5470588239999999;B08466;176;132;102;1
01/09/2003;Nicole Kidman;#C9A48F;0.675653595;C9A48F;201;164;143;2
01/10/2003;Gwyneth Paltrow;#CB956F;0.6176470589999999;CB956F;203;149;111;3
01/11/2003;Uma Thurman;#CEB098;0.704313725;CEB098;206;176;152;2
01/12/2003;Renee Zellweger;#C1A691;0.663970588;C1A691;193;166;145;2
01/01/2004;Jennifer Aniston;#C28361;0.57224736;C28361;194;131;97;1
01/02/2004;Natalie Portman;#D0A187;0.6742919390000001;D0A187;208;161;135;2
01/03/2004;Angelina Jolie;#B87B67;0.565418895;B87B67;184;123;103;1
01/04/2004;Gwen Stefani;#B5826E;0.573333333;B5826E;181;130;110;1
01/05/2004;Nicole Kidman;#D0A486;0.673262032;D0A486;208;164;134;2
01/06/2004;Kate Hudson;#D4AA85;0.678169935;D4AA85;212;170;133;2
01/07/2004;Kirsten Dunst;#EFBA74;0.697603486;EFBA74;239;186;116;2
01/08/2004;Lisa-Marie Presley;#D2B59F;0.724420677;D2B59F;210;181;159;2
01/08/2004;Riley Keough;#D5BBAC;0.7573295990000001;D5BBAC;213;187;172;0
01/08/2004;Priscilla Presley;#D4C0B5;0.772096531;D4C0B5;212;192;181;0
01/09/2004;Gisele Bundchen;#EBCDB3;0.813112745;EBCDB3;235;205;179;0
01/09/2004;Daria Werbowy;#ECD1BD;0.834858388;ECD1BD;236;209;189;0
01/09/2004;Natalia Vodianova;#F0D6C4;0.855555556;F0D6C4;240;214;196;0
01/10/2004;Charlize Theron;#E7BE88;0.720588235;E7BE88;231;190;136;2
01/11/2004;Jennifer Connelly;#DDBA97;0.731862745;DDBA97;221;186;151;2
01/12/2004;Cate Blanchett;#BDAC9E;0.6825037709999999;BDAC9E;189;172;158;2
01/01/2005;Jennifer Lopez;#D1A58D;0.6898692809999999;D1A58D;209;165;141;2
01/02/2005;Melania Trump;#DBBCA2;0.74956427;DBBCA2;219;188;162;0
01/03/2005;Sandra Bullock;#D7A274;0.651372549;D7A274;215;162;116;3
01/04/2005;Drew Barrymore;#DCC4AD;0.772331155;DCC4AD;220;196;173;0
01/05/2005;Liya Kebede;#B17E62;0.540056022;B17E62;177;126;98;1
01/06/2005;Salma Hayek;#BB8A6F;0.58583878;BB8A6F;187;138;111;3
01/07/2005;Kate Winslet;#DBAB89;0.700735294;DBAB89;219;171;137;2
01/08/2005;Madonna;#CBA78D;0.675980392;CBA78D;203;167;141;2
01/09/2005;Sarah Jessica Parker;#DCB793;0.7221568629999999;DCB793;220;183;147;2
01/10/2005;Gwyneth Paltrow;#DCAB82;0.6898039220000001;DCAB82;220;171;130;2
01/11/2005;Reese Witherspoon;#CCA790;0.68540305;CCA790;204;167;144;2
01/12/2005;Keira Knightley;#DBB38D;0.7070588240000001;DBB38D;219;179;141;2
01/01/2006;Sienna Miller;#CDAA8B;0.676078431;CDAA8B;205;170;139;2
01/02/2006;Drew Barrymore;#DAA97E;0.676838235;DAA97E;218;169;126;2
01/03/2006;Natalie Portman;#D6B39B;0.7248934359999999;D6B39B;214;179;155;2
01/04/2006;Jennifer Aniston;#DFB07B;0.6813725490000001;DFB07B;223;176;123;2
01/05/2006;Keira Knightley;#DFB38C;0.713333333;DFB38C;223;179;140;2
01/06/2006;Uma Thurman;#CF9B64;0.602111614;CF9B64;207;155;100;3
01/07/2006;Kate Hudson;#D5B399;0.719215686;D5B399;213;179;153;2
01/08/2006;Linda Evangelista;#CC9B82;0.655882353;CC9B82;204;155;130;3
01/09/2006;Kirsten Dunst;#BEA398;0.6711484590000001;BEA398;190;163;152;2
01/10/2006;Sandra Bullock;#BB8B6D;0.580784314;BB8B6D;187;139;109;3
01/11/2006;Cate Blanchett;#B5A597;0.652337858;B5A597;181;165;151;2
01/12/2006;Nicole Kidman;#C5AD94;0.6792156859999999;C5AD94;197;173;148;2
01/01/2007;Angelina Jolie;#DCAD8B;0.704357298;DCAD8B;220;173;139;2
01/02/2007;Renee Zellweger;#BC9E7F;0.618954248;BC9E7F;188;158;127;3
01/03/2007;Jennifer Hudson;#A67955;0.493382353;A67955;166;121;85;1
01/04/2007;Scarlett Johansson;#AD9280;0.591503268;AD9280;173;146;128;3
01/05/2007;Lily Donaldson;#BD8F70;0.593333333;BD8F70;189;143;112;3
01/05/2007;Caroline Trentini;#C29774;0.6096078429999999;C29774;194;151;116;3
01/05/2007;Hilary Rhoda;#C3967E;0.6309523810000001;C3967E;195;150;126;3
01/05/2007;Doutzen Kroes;#C79A7D;0.63627451;C79A7D;199;154;125;3
01/05/2007;Sasha Pivovarova;#C99C7C;0.639433551;C99C7C;201;156;124;3
01/06/2007;Keira Knightley;#C89770;0.613507625;C89770;200;151;112;3
01/07/2007;Natalia Vodianova;#D1A991;0.696918768;D1A991;209;169;145;2
01/08/2007;Winona Ryder;#CEAFA4;0.727591036;CEAFA4;206;175;164;2
01/09/2007;Sienna Miller;#CDA28D;0.679738562;CDA28D;205;162;141;2
01/10/2007;Charlize Theron;#CDA37F;0.652941176;CDA37F;205;163;127;3
01/11/2007;Jennifer Connelly;#E8C5AA;0.790196078;E8C5AA;232;197;170;0
01/12/2007;Penelope Cruz;#AE866B;0.551693405;AE866B;174;134;107;1
01/01/2008;Kate Hudson;#CB9978;0.6356506239999999;CB9978;203;153;120;3
01/02/2008;Kate Bosworth;#A67D61;0.515686275;A67D61;166;125;97;1
01/03/2008;Drew Barrymore;#C89A7E;0.641736695;C89A7E;200;154;126;3
01/04/2008;Gisele Bundchen;#D6AC8A;0.692156863;D6AC8A;214;172;138;2
01/05/2008;Gwyneth Paltrow;#E0C4BA;0.806302521;E0C4BA;224;196;186;0
01/06/2008;Sarah Jessica Parker;#BBA186;0.630882353;BBA186;187;161;134;3
01/07/2008;Nicole Kidman;#DCC5AD;0.773109244;DCC5AD;220;197;173;0
01/08/2008;Kate Moss;#A17F5F;0.502614379;A17F5F;161;127;95;1
01/09/2008;Keira Knightley;#BEA699;0.674673203;BEA699;190;166;153;2
01/10/2008;Rachel Weisz;#C8A38F;0.6736694679999999;C8A38F;200;163;143;2
01/11/2008;Reese Witherspoon;#9F8365;0.51124183;9F8365;159;131;101;1
01/12/2008;Jennifer Aniston;#95745A;0.470437406;95745A;149;116;90;1
01/01/2009;Anne Hathaway;#DEA36D;0.650980392;DEA36D;222;163;109;3
01/02/2009;Blake Lively;#A9835E;0.516470588;A9835E;169;131;94;1
01/03/2009;Michelle Obama;#844930;0.35411764700000004;844930;132;73;48;4
01/04/2009;Beyonce;#91684C;0.433893557;91684C;145;104;76;4
01/05/2009;Liya Kebede;#AC7842;0.468736383;AC7842;172;120;66;1
01/05/2009;Natalia Vodianova;#D3A46E;0.631808279;D3A46E;211;164;110;3
01/05/2009;Anna Jagodzinska;#D5AA7A;0.658431373;D5AA7A;213;170;122;3
01/06/2009;Cameron Diaz;#A38764;0.517647059;A38764;163;135;100;1
01/07/2009;Sienna Miller;#DBA981;0.68496732;DBA981;219;169;129;2
01/08/2009;Christy Turlington;#B89C8B;0.634992459;B89C8B;184;156;139;3
01/09/2009;Charlize Theron;#DDAE77;0.667119155;DDAE77;221;174;119;2
01/10/2009;Michelle Williams;#E5CBAD;0.7910216720000001;E5CBAD;229;203;173;0
01/11/2009;Penelope Cruz;#B59165;0.554117647;B59165;181;145;101;1
01/11/2009;Kate Hudson;#B49268;0.5580392160000001;B49268;180;146;104;1
01/11/2009;Marion Cotillard;#B1946D;0.5627450979999999;B1946D;177;148;109;3
01/11/2009;Nicole Kidman;#B99A71;0.5859477120000001;B99A71;185;154;113;3
01/12/2009;Cate Blanchett;#BB9E89;0.637535014;BB9E89;187;158;137;3
01/01/2010;Rachel McAdams;#D6BAAA;0.754901961;D6BAAA;214;186;170;0
01/02/2010;Jessica Biel;#D1A48C;0.68627451;D1A48C;209;164;140;2
01/03/2010;Tina Fey;#D09466;0.609150327;D09466;208;148;102;3
01/04/2010;Gisele Bundchen;#D59C71;0.640196078;D59C71;213;156;113;3
01/05/2010;Sarah Jessica Parker;#D7A87F;0.672905526;D7A87F;215;168;127;2
01/06/2010;Blake Lively;#D5A27C;0.66372549;D5A27C;213;162;124;3
01/07/2010;Marion Cotillard;#BF7C62;0.567647059;BF7C62;191;124;98;1
01/08/2010;Gwyneth Paltrow;#DDBD9A;0.7375;DDBD9A;221;189;154;2
01/09/2010;Halle Berry;#D19D75;0.64245098;D19D75;209;157;117;3
01/10/2010;Carey Mulligan;#E0BF9A;0.743137255;E0BF9A;224;191;154;2
01/11/2010;Anne Hathaway;#F6D9CB;0.882352941;F6D9CB;246;217;203;0
01/12/2010;Angelina Jolie;#B39684;0.610784314;B39684;179;150;132;3
01/01/2011;Natalie Portman;#DBB38C;0.705128205;DBB38C;219;179;140;2
01/02/2011;Kristen Stewart;#D6B79E;0.7316526609999999;D6B79E;214;183;158;2
01/03/2011;Lady Gaga;#E0C9B9;0.803267974;E0C9B9;224;201;185;0
01/04/2011;Rihanna;#D6A185;0.680882353;D6A185;214;161;133;2
01/05/2011;Reese Witherspoon;#D3B192;0.702941176;D3B192;211;177;146;2
01/06/2011;Penelope Cruz;#C58C6F;0.604656863;C58C6F;197;140;111;3
01/07/2011;Emma Watson;#E1C5B4;0.795588235;E1C5B4;225;197;180;0
01/08/2011;Sarah Jessica Parker;#AF815F;0.529411765;AF815F;175;129;95;1
01/09/2011;Kate Moss;#CCA58B;0.674509804;CCA58B;204;165;139;2
01/10/2011;Michelle Williams;#D5CBBB;0.7861811390000001;D5CBBB;213;203;187;0
01/11/2011;Rooney Mara;#D1B6AB;0.746588235;D1B6AB;209;182;171;0
01/12/2011;Charlize Theron;#DDBEA5;0.759728507;DDBEA5;221;190;165;0
01/01/2012;Meryl Streep;#D3B69D;0.723921569;D3B69D;211;182;157;2
01/02/2012;Taylor Swift;#DCC0AC;0.7708683470000001;DCC0AC;220;192;172;0
01/03/2012;Adele;#D7C7BF;0.7978883859999999;D7C7BF;215;199;191;0
01/04/2012;Jennifer Lopez;#C39C7A;0.622689076;C39C7A;195;156;122;3
01/05/2012;Scarlett Johansson;#D6AB9A;0.724089636;D6AB9A;214;171;154;2
01/06/2012;Serena Williams;#9C5A46;0.443697479;9C5A46;156;90;70;4
01/06/2012;Hope Solo;#CDA182;0.659869281;CDA182;205;161;130;3
01/07/2012;Emma Stone;#E5B186;0.712745098;E5B186;229;177;134;2
01/08/2012;Marion Cotillard;#CDAC91;0.687843137;CDAC91;205;172;145;2
01/09/2012;Lady Gaga;#E2D1C7;0.8357298470000001;E2D1C7;226;209;199;0
01/10/2012;Keira Knightley;#EEBFB4;0.82254902;EEBFB4;238;191;180;0
01/11/2012;Rihanna;#F3B18D;0.7544406;F3B18D;243;177;141;2
01/12/2012;Anne Hathaway;#EBD1BD;0.833946078;EBD1BD;235;209;189;0
01/01/2013;Gwen Stefani;#DDBC97;0.7301470590000001;DDBC97;221;188;151;2
01/02/2013;Rooney Mara;#EDC8B4;0.8189950979999999;EDC8B4;237;200;180;0
01/03/2013;Beyonce;#CA8870;0.61752451;CA8870;202;136;112;3
01/04/2013;Michelle Obama;#BD6C4A;0.517156863;BD6C4A;189;108;74;1
01/05/2013;Carey Mulligan;#E2BF9E;0.755882353;E2BF9E;226;191;158;0
01/06/2013;Kate Upton;#DDA681;0.688235294;DDA681;221;166;129;2
01/07/2013;Katy Perry;#EDCAB5;0.821799308;EDCAB5;237;202;181;0
01/08/2013;Claire Danes;#EFC5A4;0.7928104579999999;EFC5A4;239;197;164;0
01/09/2013;Jennifer Lawrence;#ECBC9E;0.774625144;ECBC9E;236;188;158;0
01/10/2013;Sandra Bullock;#D8A395;0.716666667;D8A395;216;163;149;2
01/11/2013;Kate Winslet;#E0B198;0.74004128;E0B198;224;177;152;2
01/12/2013;Jessica Chastain;#F8D2BE;0.86127451;F8D2BE;248;210;190;0
01/01/2014;Cate Blanchett;#DCAE97;0.729019608;DCAE97;220;174;151;2
01/02/2014;Lena Dunham;#E0C1AC;0.77739331;E0C1AC;224;193;172;0
01/03/2014;Rihanna;#CC9789;0.6707516339999999;CC9789;204;151;137;3
01/04/2014;Kim Kardashian;#E1B297;0.7395424840000001;E1B297;225;178;151;2
01/05/2014;Emma Stone;#E6BDB4;0.8051903109999999;E6BDB4;230;189;180;0
01/06/2014;Charlize Theron;#E6A992;0.738562092;E6A992;230;169;146;2
01/07/2014;Lupita Nyongo;#85524F;0.4166666670000001;85524F;133;82;79;4
01/08/2014;Blake Lively;#CF9B79;0.643697479;CF9B79;207;155;121;3
01/09/2014;Imaan Hammam;#B1694F;0.503594771;B1694F;177;105;79;1
01/09/2014;Joan Smalls;#B77156;0.527818627;B77156;183;113;86;1
01/09/2014;Karlie Kloss;#D39071;0.635947712;D39071;211;144;113;3
01/09/2014;Edie Campbell;#D29277;0.647303922;D29277;210;146;119;3
01/09/2014;Andreea Diaconu;#D49476;0.649542484;D49476;212;148;118;3
01/09/2014;Arizona Muse;#D59376;0.650544662;D59376;213;147;118;3
01/09/2014;Fei Fei Sun;#D6967A;0.659912854;D6967A;214;150;122;3
01/09/2014;Vanessa Axente;#DB997C;0.674379085;DB997C;219;153;124;3
01/09/2014;Cara Delevingne;#DA9C7F;0.6776470590000001;DA9C7F;218;156;127;3
01/10/2014;Reese Witherspoon;#DD8162;0.62627451;DD8162;221;129;98;3
01/11/2014;Natalia Vodianova;#EEB88D;0.74422658;EEB88D;238;184;141;2
01/12/2014;Amy Adams;#ECCDC9;0.8573529409999999;ECCDC9;236;205;201;0
01/01/2015;Sienna Miller;#DCA484;0.693028322;DCA484;220;164;132;2
01/02/2015;Dakota Johnson;#F3AC92;0.764488017;F3AC92;243;172;146;2
01/03/2015;Karlie Kloss;#DB8D6E;0.646928105;DB8D6E;219;141;110;3
01/03/2015;Taylor Swift;#DD8F6E;0.651198257;DD8F6E;221;143;110;3
01/04/2015;Serena Williams;#875038;0.375;875038;135;80;56;4
01/05/2015;Carey Mulligan;#F0BA98;0.771323529;F0BA98;240;186;152;2
01/06/2015;Amanda Seyfried;#D59B7C;0.66379085;D59B7C;213;155;124;3
01/07/2015;Cara Delevingne;#ECAE95;0.7567320259999999;ECAE95;236;174;149;2
01/08/2015;Nicole Kidman;#DBAA8D;0.7081891579999999;DBAA8D;219;170;141;2
01/09/2015;Beyonce;#BB9085;0.628571429;BB9085;187;144;133;3
01/10/2015;Lupita Nyongo;#58342B;0.257422969;58342B;88;52;43;4
01/11/2015;Angelina Jolie;#DAA697;0.7243367940000001;DAA697;218;166;151;2
01/12/2015;Jennifer Lawrence;#D39C71;0.636953243;D39C71;211;156;113;3
01/01/2016;Alicia Vikander;#E7AC96;0.7495356040000001;E7AC96;231;172;150;2
01/02/2016;Penelope Cruz;#E3AF90;0.7291021670000001;E3AF90;227;175;144;2
01/03/2016;Adele;#F0BBA5;0.794509804;F0BBA5;240;187;165;0
01/04/2016;Rihanna;#9C6A59;0.483333333;9C6A59;156;106;89;1
01/05/2016;Taylor Swift;#DFAF9A;0.740196078;DFAF9A;223;175;154;2
01/06/2016;Margot Robbie;#D29F72;0.635947712;D29F72;210;159;114;3
01/07/2016;Amy Schumer;#E4BD9D;0.756951872;E4BD9D;228;189;157;2
01/08/2016;Gigi Hadid;#BC7353;0.533115468;BC7353;188;115;83;1
01/09/2016;Kendall Jenner;#E6A08B;0.725816993;E6A08B;230;160;139;2
01/10/2016;Lupita Nyongo;#8F5347;0.420588235;8F5347;143;83;71;4
01/11/2016;Emma Stone;#E7C2B2;0.8029411759999999;E7C2B2;231;194;178;0
01/12/2016;Michelle Obama;#A37249;0.465277778;A37249;163;114;73;1
01/01/2017;Ruth Negga;#B88162;0.553594771;B88162;184;129;98;1
01/02/2017;Dakota Johnson;#E1A899;0.744019608;E1A899;225;168;153;2
01/03/2017;Imaan Hammam;#AB542D;0.425490196;AB542D;171;84;45;4
01/03/2017;Adwoa Aboah;#BA673E;0.486862745;BA673E;186;103;62;1
01/03/2017;Kendall Jenner;#C87450;0.55;C87450;200;116;80;1
01/03/2017;Ashley Graham;#D0724A;0.5546568629999999;D0724A;208;114;74;1
01/03/2017;Liu Wen;#C87955;0.560980392;C87955;200;121;85;1
01/03/2017;Gigi Hadid;#D3815A;0.5929411760000001;D3815A;211;129;90;1
01/03/2017;Vittoria Ceretti;#DB8861;0.621746881;DB8861;219;136;97;3
01/04/2017;Selena Gomez;#CE966F;0.623227753;CE966F;206;150;111;3
01/05/2017;Katy Perry;#E7BDA7;0.7820855609999999;E7BDA7;231;189;167;0
01/06/2017;Elle Fanning;#D2A999;0.7135549870000001;D2A999;210;169;153;2
01/07/2017;Zendaya;#C6876A;0.598039216;C6876A;198;135;106;3
01/08/2017;Gigi Hadid;#CC865F;0.586631016;CC865F;204;134;95;1
01/09/2017;Jennifer Lawrence;#C19992;0.665953654;C19992;193;153;146;3
01/10/2017;Rooney Mara;#C39987;0.648039216;C39987;195;153;135;3
01/11/2017;Daisy Ridley;#D1A38F;0.692156863;D1A38F;209;163;143;2
01/12/2017;Meryl Streep;#E5B089;0.72;E5B089;229;176;137;2
01/01/2018;Lupita Nyongo;#402C2C;0.212745098;402C2C;64;44;44;4
01/02/2018;Serena Williams;#935E47;0.430514706;935E47;147;94;71;4
01/03/2018;Alicia Vikander;#EABB9A;0.763071895;EABB9A;234;187;154;2
01/04/2018;Kendall Jenner;#E7CDBC;0.824355005;E7CDBC;231;205;188;0
01/05/2018;Amal Clooney;#DBAF95;0.72373581;DBAF95;219;175;149;2
01/06/2018;Rihanna;#B47648;0.495938375;B47648;180;118;72;1
01/07/2018;Gisele Bundchen;#B87D52;0.52379085;B87D52;184;125;82;1
01/08/2018;Saoirse Ronan;#CAA378;0.634238311;CAA378;202;163;120;3
01/09/2018;Beyonce;#B97647;0.504738562;B97647;185;118;71;1
01/10/2018;Lady Gaga;#DDCAC0;0.812655971;DDCAC0;221;202;192;0
01/11/2018;Claire Foy;#EFD0C5;0.8582267690000001;EFD0C5;239;208;197;0
01/12/2018;Emily Blunt;#D99C82;0.68177624;D99C82;217;156;130;3
